          12   2.7137875089710303E-006   2.1482793379650651E-003   1.9648280487686483E-004   2.1572475451793987E-003
          13   3.1338619728167218E-006   2.1918553643715268E-003   2.0220946123975024E-004   2.2011652426907830E-003
          14   3.6536626486779744E-006   2.2508999250121244E-003   2.0786293871621138E-004   2.2604802195467398E-003
          15   4.2956416474775817E-006   2.3259148608639189E-003   2.1329916688986338E-004   2.3356786866178098E-003
          16   5.0765184436113533E-006   2.4175371202849218E-003   2.1842124766408193E-004   2.4273894084852051E-003
          17   5.9930478855459195E-006   2.5265380693153452E-003   2.2314882064298057E-004   2.5363804778615181E-003
          18   7.0245373628459259E-006   2.6538232119352042E-003   2.2736971593854635E-004   2.6635547623537273E-003
          19   8.1441185009622610E-006   2.8004309101030424E-003   2.3089863637756262E-004   2.8099455135656508E-003
          20   9.3366473677504061E-006   2.9675294081884483E-003   2.3346245503882732E-004   2.9767134022878504E-003
          21   1.0614202815644784E-005   3.1564187719156974E-003   2.3471732459464233E-004   3.1651515520537206E-003
          22   1.2018023787587632E-005   3.3685710012669101E-003   2.3428785251739326E-004   3.3767300486283063E-003
          23   1.3615010448639472E-005   3.6058283685368449E-003   2.3181087388221382E-004   3.6132976452410664E-003
          24   1.5526505979537962E-005   3.8711673549064319E-003   2.2697512642061104E-004   3.8778467569122489E-003
          25   1.8075867318550989E-005   4.1714303291678426E-003   2.1958125267401113E-004   4.1772447443986973E-003
          26   2.2310110060536431E-005   4.5270698755129788E-003   2.0972912215172290E-004   4.5319803291129302E-003
          27   3.1678695430237082E-005   5.0080501395605550E-003   1.9845326997891194E-004   5.0120807495951198E-003
          28   5.6215979894455951E-005   5.8716530477706365E-003   1.8966024575798980E-004   5.8749843198608355E-003
          29   1.0861543884305973E-004   8.1020297621905088E-003   1.8824543234272491E-004   8.1049441653705274E-003
          30   1.4583379733973538E-005   4.1278069475787699E-005   1.4639303176236586E-005   4.6161273613268050E-005
          31   6.8759399253582928E-006   1.2039716085900337E-005   1.0489951939162080E-004   1.0581182581299338E-004
          32   4.0139023074949224E-007   7.4488216464528531E-006   1.1416933294713484E-004   1.1441277307902179E-004
          33   6.8708451489417001E-007   7.0152756531326556E-006   1.2025702965902156E-004   1.2046343578045097E-004
          34   8.6337113645643786E-007   7.3644639334324492E-006   1.2697469243058181E-004   1.2719101091109757E-004
          35   8.7194387325258076E-007   7.8985999729569409E-006   1.3465865637064158E-004   1.3489292755069639E-004
          36   8.5140475944436864E-007   8.5130386993775983E-006   1.4326747978575562E-004   1.4352270720037092E-004
          37   8.3007990074727612E-007   9.1979790995646622E-006   1.5279804015742201E-004   1.5307688567548923E-004
          38   8.1373217468831270E-007   9.9630939889820188E-006   1.6331112040680545E-004   1.6361677007694389E-004
          39   8.0316541785174765E-007   1.0822838206747264E-005   1.7491506054203185E-004   1.7525141170889475E-004
          40   7.9821880599569895E-007   1.1794076374189070E-005   1.8775500470745053E-004   1.8812676360230413E-004
          41   7.9876216862154162E-007   1.2896331351947043E-005   2.0200975983270276E-004   2.0242256902580671E-004
          42   8.0496135615997183E-007   1.4152630059844195E-005   2.1789362848434200E-004   2.1835424940785597E-004
          43   8.1736340903767765E-007   1.5590565485398912E-005   2.3566151861015685E-004   2.3617807935695948E-004
          44   8.3694951659044192E-007   1.7243562764837261E-005   2.5561667394779006E-004   2.5619899480959913E-004
          45   8.6520016977774414E-007   1.9152428089617160E-005   2.7812100879358358E-004   2.7878102447157757E-004
          46   9.0418951041382834E-007   2.1367295092623284E-005   3.0360843701487266E-004   3.0436074300878535E-004
          47   9.5672041331333138E-007   2.3950117676647770E-005   3.3260191406899028E-004   3.3346447590864984E-004
          48   1.0265140277827139E-006   2.6977906366224108E-005   3.6573525814670085E-004   3.6673033718876861E-004
          49   1.1184737752438125E-006   3.0546975667240367E-005   4.0378124846246244E-004   4.0493661888733369E-004
          50   1.2390538848002030E-006   3.4778572425839644E-005   4.4768807797424307E-004   4.4903863922248470E-004
          51   1.3967776251146516E-006   3.9826404441109273E-005   4.9862704261597615E-004   5.0021697402866626E-004
          52   1.6029728394330295E-006   4.5886807500711087E-005   5.5805548991368526E-004   5.5994115623638038E-004
          53   1.8728262691911531E-006   5.3212613958857954E-005   6.2780069022899438E-004   6.3005459796320099E-004
          54   2.2269103024568846E-006   6.2132275877659727E-005   7.1017268144689285E-004   7.1288892284051013E-004
          55   2.6934179867314576E-006   7.3076548575402229E-005   8.0811765312649290E-004   8.1141948321864638E-004
          56   3.3114753492319056E-006   8.6616225162247366E-005   9.2542867113589767E-004   9.2947918841182193E-004
          57   4.1361229981524158E-006   1.0351633523173708E-004   1.0670384298682081E-003   1.0720558520846179E-003
          58   5.2459468548121318E-006   1.2481546993653979E-004   1.2394307299568054E-003   1.2457106228394869E-003
          59   6.7550460853295389E-006   1.5194468784334670E-004   1.4512258464780055E-003   1.4591741761343061E-003
          60   8.8324019825865230E-006   1.8691150885017481E-004   1.7140235252269833E-003   1.7242072289887216E-003
          61   1.1734610310388485E-005   2.3259737614090111E-004   2.0436315735101298E-003   2.0568590736154621E-003
          62   1.5864734640729722E-005   2.9326865433692466E-004   2.4618757865504776E-003   2.4793326888147430E-003
          63   2.1888199030750995E-005   3.7552844607834221E-004   2.9992873335585846E-003   3.0227843482980702E-003
          64   3.0992488087233693E-005   4.9027265671223086E-004   3.6990958026281392E-003   3.7315730689963214E-003
          65   4.5571022736429507E-005   6.5713722195774604E-004   4.6230330337625374E-003   4.6697259531856081E-003
